,Open,High,Low,Close,Volume
2024-11-27,425.1050,427.2299,422.0200,422.9900,18332444
2024-11-26,419.5850,429.0414,418.8500,427.9900,23458889
2024-11-25,418.3800,421.0800,414.8500,418.7900,27691090
2024-11-22,411.3650,417.4000,411.0600,417.0000,24814626
2024-11-21,419.5000,419.7800,410.2887,412.8700,20780162
2024-11-20,416.8700,417.2900,410.5800,415.4900,19191655
2024-11-19,413.1100,417.9400,411.5500,417.7900,18133529
2024-11-18,414.8700,418.4037,412.1000,415.7600,24742013
2024-11-15,419.8200,422.8000,413.6400,415.0000,28247644
2024-11-14,425.0000,428.1700,420.0000,426.8900,30246881
2024-11-13,421.6400,429.3250,418.2100,425.2000,21502185
2024-11-12,418.2500,424.4400,417.2000,423.0300,19401204
2024-11-11,422.5150,424.8100,416.0000,418.0100,24503321
2024-11-08,425.3200,426.5000,421.7800,422.5400,16891414
2024-11-07,421.2800,426.8500,419.8800,425.4300,19901782
2024-11-06,412.4200,420.4500,410.5200,420.1800,26681842
2024-11-05,408.3700,414.9000,408.0800,411.4600,17626011
2024-11-04,409.8000,410.4150,405.5713,408.4600,19672286
2024-11-01,409.0100,415.5000,407.5000,410.3700,24230442
2024-10-31,415.3600,416.1600,406.3000,406.3500,53970981
2024-10-30,437.4350,438.5000,432.1000,432.5300,29749149
2024-10-29,428.0000,433.1700,425.8001,431.9500,17644080
2024-10-28,431.6550,431.9400,426.3000,426.5900,14882444
2024-10-25,426.7600,432.5200,426.5650,428.1500,16899064
2024-10-24,425.3250,425.9782,422.4000,424.7300,13581631
2024-10-23,430.8550,431.0800,422.5300,424.6000,19654379
2024-10-22,418.4900,430.5793,418.0400,427.5100,25482197
2024-10-21,416.1200,418.9600,413.7501,418.7800,14206115
2024-10-18,417.1400,419.6500,416.2601,418.1600,17145317
2024-10-17,422.3600,422.5000,415.5900,416.7200,14820004
2024-10-16,415.1700,416.3600,410.4800,416.1200,15508932
2024-10-15,422.1800,422.4800,415.2600,418.7400,18900201
2024-10-14,417.7700,424.0400,417.5200,419.1400,16653086
2024-10-11,416.1350,417.1300,413.2500,416.3200,14144944
2024-10-10,415.2250,417.3500,413.1500,415.8400,13848376
2024-10-09,415.8600,420.3800,414.3000,417.4600,14974257
2024-10-08,410.9000,415.6600,408.1700,414.7100,19229261
2024-10-07,416.0000,417.1100,409.0000,409.5400,20919761
2024-10-04,418.2400,419.7500,414.9700,416.0600,19190913
2024-10-03,417.6300,419.5500,414.2900,416.5400,13686421
2024-10-02,422.5800,422.8200,416.7100,417.1300,16582257
2024-10-01,428.4500,428.4800,418.8100,420.6900,19092945
2024-09-30,428.2100,430.4200,425.3700,430.3000,16854606
2024-09-27,431.5200,431.8500,427.4700,428.0200,14896131
2024-09-26,435.0850,435.3000,429.1300,431.3100,14492044
2024-09-25,429.8300,433.1190,428.5700,432.1100,13396364
2024-09-24,433.0000,433.3500,426.1000,429.1700,17015754
2024-09-23,434.2800,436.4600,430.3889,433.5100,15128891
2024-09-20,437.2200,439.2400,434.2200,435.2700,55167106
2024-09-19,441.2250,441.5000,436.9000,438.6900,21706559
2024-09-18,435.0000,436.0300,430.4100,430.8100,18898042
2024-09-17,440.2300,441.8500,432.2700,435.1500,18874231
2024-09-16,430.6000,433.5300,428.2200,431.3400,13834697
2024-09-13,425.8250,431.8300,425.4600,430.5900,15874555
2024-09-12,423.3100,427.3692,419.7500,427.0000,17418759
2024-09-11,415.5000,423.9900,409.5800,423.0400,19266923
2024-09-10,408.2000,416.3300,407.7000,414.2000,19594287
2024-09-09,407.2400,408.6500,402.1500,405.7200,15295134
2024-09-06,409.0600,410.6500,400.8000,401.7000,19609526
2024-09-05,407.6200,413.1000,406.1300,408.3900,14195516
2024-09-04,405.9100,411.2400,404.3700,408.9000,14886710
2024-09-03,417.9100,419.8800,407.0300,409.4400,20313603
2024-08-30,415.6000,417.4900,412.1300,417.1400,24308324
2024-08-29,414.9400,422.0500,410.6000,413.1200,17045241
2024-08-28,414.8800,415.0000,407.3100,410.6000,14882660
2024-08-27,412.8600,414.3600,410.2500,413.8400,13492911
2024-08-26,416.3650,417.2799,411.3400,413.4900,13152830
2024-08-23,416.9800,419.2600,412.0900,416.7900,18493784
2024-08-22,424.3600,426.7899,414.6100,415.5500,19361901
2024-08-21,424.0750,426.4000,421.7200,424.1400,16067298
2024-08-20,421.7000,425.8600,421.6400,424.8000,16387581
2024-08-19,418.9600,421.7500,416.4600,421.5300,15233957
2024-08-16,420.6000,421.3400,417.3000,418.4700,22775593
2024-08-15,419.8000,421.1100,417.6600,421.0300,20752144
2024-08-14,414.8000,417.7200,412.4456,416.8600,18266980
2024-08-13,409.5900,414.9500,409.5700,414.0100,19414271
2024-08-12,407.0600,408.7600,404.2434,406.8100,16762883
2024-08-09,404.0300,408.0500,402.2624,406.0200,19276666
2024-08-08,402.4400,405.8600,399.9407,402.6900,20203030
2024-08-07,408.6350,410.0800,397.4700,398.4300,20650906
2024-08-06,400.0000,405.6700,398.5000,399.6100,24946525
2024-08-05,389.1700,401.0400,385.5800,395.1500,40709238
2024-08-02,412.4900,415.0000,404.3400,408.4900,29437900
2024-08-01,420.7850,427.4600,413.0901,417.1100,30296400
2024-07-31,420.4950,421.7750,412.2100,418.3500,42891366
2024-07-30,427.7200,429.0500,417.3600,422.9200,32687578
2024-07-29,431.5800,432.1500,424.7042,426.7300,15125836
2024-07-26,418.2000,428.9150,417.2700,425.2700,23583839
2024-07-25,428.8000,429.8000,417.5100,418.4000,29943795
2024-07-24,440.4500,441.4800,427.5850,428.9000,26805800
2024-07-23,443.8950,448.3900,443.1000,444.8500,13107050
2024-07-22,441.7900,444.6000,438.9125,442.9400,15808755
2024-07-19,433.1000,441.1400,432.0000,437.1100,20940417
2024-07-18,444.3400,444.6500,434.4000,440.3700,20794822
2024-07-17,442.5900,444.8500,439.1800,443.5200,21754021
2024-07-16,454.2200,454.3000,446.6600,449.5200,17175679
2024-07-15,453.3000,457.2600,451.4300,453.9600,14429447
2024-07-12,454.3250,456.3600,450.6450,453.5500,16324274
2024-07-11,462.9800,464.7800,451.5500,454.7000,23111175
2024-07-10,461.2200,466.4600,458.8550,466.2500,18196100
2024-07-09,467.0000,467.3300,458.0000,459.5400,17228507
2024-07-08,466.5500,467.7000,464.4600,466.2400,12962321
2024-07-05,459.6100,468.3500,458.9650,467.5600,16000290
2024-07-03,458.1900,461.0200,457.8800,460.7700,9932830
2024-07-02,453.2000,459.5900,453.1130,459.2800,13979779
2024-07-01,448.6600,457.3700,445.6600,456.7300,17662818
2024-06-28,453.0700,455.3800,446.4100,446.9500,28362271
2024-06-27,452.1750,456.1700,451.7700,452.8500,14806324
2024-06-26,449.0000,453.6000,448.1900,452.1600,16507030
2024-06-25,448.2500,451.4200,446.7500,450.9500,16747529
2024-06-24,449.8000,452.7500,446.4100,447.6700,15913719
2024-06-21,447.3800,450.5800,446.5100,449.7800,34486172
2024-06-20,446.3000,446.5300,441.2700,445.7000,19877378
2024-06-18,449.7050,450.1400,444.8900,446.3400,17112504
2024-06-17,442.5850,450.9400,440.7200,448.3700,20790030
2024-06-14,438.2750,443.1376,436.7210,442.5700,13581985
2024-06-13,440.8500,443.3900,439.3700,441.5800,15960565
2024-06-12,435.3200,443.4000,433.2500,441.0600,22366233
2024-06-11,425.4750,432.8200,425.2500,432.6800,14551101
2024-06-10,424.7000,428.0800,423.8900,427.8700,14003034
2024-06-07,426.2000,426.2800,423.0000,423.8500,13621650
2024-06-06,424.0100,425.3100,420.5800,424.5200,14861251
2024-06-05,417.8100,424.0800,416.3000,424.0100,16988038
2024-06-04,412.4300,416.4400,409.6750,416.0700,14348917
